sales_key,customer_key,product_key,region_key,date_key,order_id,ship_date,ship_mode,sales,quantity,discount,profit,delivery_days,shipping_speed,profit_margin_pct,estimated_cost,discount_bucket,loss_flag,customer_id,customer_name,segment,product_id,product_name,category,sub_category,country_region,city,state_province,postal_code,region,order_date,order_year,order_month,order_quarter,weekday
1,1,1,1,1,US-2022-103800,2022-01-07,Standard Class,16.448,2,0.2,5.551199999999998,4,Medium,33.749999999999986,10.896800000000002,Low,0,DP-13000,Darren Powers,Consumer,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,United States,Houston,Texas,77095,Central,2022-01-03,2022,1,1,Monday
2,2,2,2,2,US-2022-112326,2022-01-08,Standard Class,3.539999999999999,2,0.8,-5.487,4,Medium,-155.00000000000006,9.027,High,1,PO-19195,Phillina Ober,Home Office,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,United States,Naperville,Illinois,60540,Central,2022-01-04,2022,1,1,Tuesday
3,2,3,2,2,US-2022-112326,2022-01-08,Standard Class,11.784,3,0.2,4.271699999999999,4,Medium,36.24999999999999,7.5123000000000015,Low,0,PO-19195,Phillina Ober,Home Office,OFF-LA-10003223,Avery 508,Office Supplies,Labels,United States,Naperville,Illinois,60540,Central,2022-01-04,2022,1,1,Tuesday
4,2,4,2,2,US-2022-112326,2022-01-08,Standard Class,272.736,3,0.2,-64.77480000000001,4,Medium,-23.750000000000004,337.5108,Low,1,PO-19195,Phillina Ober,Home Office,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,United States,Naperville,Illinois,60540,Central,2022-01-04,2022,1,1,Tuesday
5,3,5,3,3,US-2022-141817,2022-01-12,Standard Class,19.536,3,0.2,4.884,7,Slow,25.0,14.652,Low,0,MB-18085,Mick Brown,Consumer,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,United States,Philadelphia,Pennsylvania,19143,East,2022-01-05,2022,1,1,Wednesday
6,4,6,4,4,US-2022-167199,2022-01-10,Standard Class,2573.82,9,0.0,746.4077999999997,4,Medium,28.999999999999982,1827.4122000000004,No Discount,0,ME-17320,Maria Etezadi,Home Office,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
7,4,7,4,4,US-2022-167199,2022-01-10,Standard Class,5.48,2,0.0,1.4796000000000005,4,Medium,27.000000000000007,4.0004,No Discount,0,ME-17320,Maria Etezadi,Home Office,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
8,5,8,5,4,US-2022-106054,2022-01-07,First Class,12.78,3,0.0,5.2398,1,Fast,41.0,7.5402,No Discount,0,JO-15145,Jack O'Briant,Corporate,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,United States,Athens,Georgia,30605,South,2022-01-06,2022,1,1,Thursday
9,4,9,4,4,US-2022-167199,2022-01-10,Standard Class,609.98,2,0.0,274.491,4,Medium,44.99999999999999,335.48900000000003,No Discount,0,ME-17320,Maria Etezadi,Home Office,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
10,4,10,4,4,US-2022-167199,2022-01-10,Standard Class,31.12,4,0.0,0.3111999999999995,4,Medium,0.9999999999999984,30.8088,No Discount,0,ME-17320,Maria Etezadi,Home Office,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
11,4,11,4,4,US-2022-167199,2022-01-10,Standard Class,6.54,1,0.0,3.0084,4,Medium,46.0,3.5316,No Discount,0,ME-17320,Maria Etezadi,Home Office,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
12,6,12,6,4,US-2022-130813,2022-01-08,Second Class,19.44,3,0.0,9.3312,2,Fast,48.00000000000001,10.1088,No Discount,0,LS-17230,Lycoris Saunders,Consumer,OFF-PA-10002005,Xerox 225,Office Supplies,Paper,United States,Los Angeles,California,90049,West,2022-01-06,2022,1,1,Thursday
13,4,13,4,4,US-2022-167199,2022-01-10,Standard Class,755.96,4,0.0,204.1092,4,Medium,26.999999999999996,551.8508,No Discount,0,ME-17320,Maria Etezadi,Home Office,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
14,4,14,4,4,US-2022-167199,2022-01-10,Standard Class,391.98,2,0.0,113.67419999999998,4,Medium,28.999999999999993,278.30580000000003,No Discount,0,ME-17320,Maria Etezadi,Home Office,TEC-PH-10004977,GE 30524EE4,Technology,Phones,United States,Henderson,Kentucky,42420,South,2022-01-06,2022,1,1,Thursday
15,7,15,7,5,US-2022-105417,2022-01-12,Standard Class,76.72800000000001,3,0.6,-53.70959999999999,5,Medium,-69.99999999999997,130.4376,High,1,VS-21820,Vivek Sundaresam,Consumer,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,United States,Huntsville,Texas,77340,Central,2022-01-07,2022,1,1,Friday
16,7,16,7,5,US-2022-105417,2022-01-12,Standard Class,10.429999999999998,7,0.8,-18.252500000000005,5,Medium,-175.00000000000009,28.682500000000005,High,1,VS-21820,Vivek Sundaresam,Consumer,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,United States,Huntsville,Texas,77340,Central,2022-01-07,2022,1,1,Friday
17,8,17,8,6,US-2022-135405,2022-01-13,Standard Class,9.344,2,0.2,1.1679999999999997,4,Medium,12.499999999999996,8.176,Low,0,MS-17830,Melanie Seite,Consumer,OFF-AR-10004078,Newell 312,Office Supplies,Art,United States,Laredo,Texas,78041,Central,2022-01-09,2022,1,1,Sunday
18,8,18,8,6,US-2022-135405,2022-01-13,Standard Class,31.200000000000003,3,0.2,9.749999999999996,4,Medium,31.249999999999982,21.450000000000006,Low,0,MS-17830,Melanie Seite,Consumer,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories,United States,Laredo,Texas,78041,Central,2022-01-09,2022,1,1,Sunday
19,9,19,9,7,US-2022-149020,2022-01-15,Standard Class,51.94,1,0.0,21.2954,5,Medium,41.0,30.644599999999997,No Discount,0,AJ-10780,Anthony Jacobs,Corporate,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,United States,Springfield,Virginia,22153,South,2022-01-10,2022,1,1,Monday
20,9,20,9,7,US-2022-149020,2022-01-15,Standard Class,2.89,1,0.0,1.3583,5,Medium,47.0,1.5317,No Discount,0,AJ-10780,Anthony Jacobs,Corporate,OFF-LA-10004272,Avery 482,Office Supplies,Labels,United States,Springfield,Virginia,22153,South,2022-01-10,2022,1,1,Monday
21,10,21,10,8,US-2022-130092,2022-01-14,First Class,9.94,2,0.0,3.0813999999999995,3,Medium,30.999999999999993,6.8586,No Discount,0,SV-20365,Seth Vernon,Consumer,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,United States,Dover,Delaware,19901,East,2022-01-11,2022,1,1,Tuesday
22,11,22,11,9,US-2022-157147,2022-01-18,Standard Class,333.99899999999997,3,0.15,3.929400000000008,5,Medium,1.1764705882352966,330.0696,Low,0,BD-11605,Brian Dahlen,Consumer,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,United States,San Francisco,California,94109,West,2022-01-13,2022,1,1,Thursday
23,12,23,12,9,US-2022-109232,2022-01-16,Second Class,545.9399999999999,6,0.0,87.35040000000004,3,Medium,16.000000000000007,458.5895999999999,No Discount,0,ND-18370,Natalie DeCherney,Consumer,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,United States,Mount Pleasant,South Carolina,29464,South,2022-01-13,2022,1,1,Thursday
24,11,24,11,9,US-2022-157147,2022-01-18,Standard Class,19.9,5,0.0,6.566999999999998,5,Medium,32.99999999999999,13.333,No Discount,0,BD-11605,Brian Dahlen,Consumer,OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,United States,San Francisco,California,94109,West,2022-01-13,2022,1,1,Thursday
25,13,25,13,9,US-2022-118192,2022-01-18,Standard Class,3.4380000000000006,2,0.7,-2.5212000000000003,5,Medium,-73.33333333333333,5.959200000000001,High,1,MM-17920,Michael Moore,Consumer,OFF-BI-10003476,Avery Metallic Poly Binders,Office Supplies,Binders,United States,Newark,Ohio,43055,East,2022-01-13,2022,1,1,Thursday
26,14,26,14,9,US-2022-162775,2022-01-15,Second Class,5.64,3,0.0,2.7071999999999994,2,Fast,47.99999999999999,2.9328000000000003,No Discount,0,CS-12250,Chris Selesnick,Corporate,OFF-BI-10004187,3-ring staple pack,Office Supplies,Binders,United States,Bossier City,Louisiana,71111,South,2022-01-13,2022,1,1,Thursday
27,14,27,14,9,US-2022-162775,2022-01-15,Second Class,50.94,3,0.0,25.47,2,Fast,50.0,25.47,No Discount,0,CS-12250,Chris Selesnick,Corporate,OFF-EN-10001532,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes,United States,Bossier City,Louisiana,71111,South,2022-01-13,2022,1,1,Thursday
28,14,28,14,9,US-2022-162775,2022-01-15,Second Class,11.36,2,0.0,5.339199999999999,2,Fast,46.99999999999999,6.0208,No Discount,0,CS-12250,Chris Selesnick,Corporate,OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes,United States,Bossier City,Louisiana,71111,South,2022-01-13,2022,1,1,Thursday
29,13,29,13,9,US-2022-118192,2022-01-18,Standard Class,37.408,7,0.2,13.0928,5,Medium,35.0,24.3152,Low,0,MM-17920,Michael Moore,Consumer,OFF-PA-10002947,Xerox 1923,Office Supplies,Paper,United States,Newark,Ohio,43055,East,2022-01-13,2022,1,1,Thursday
30,14,30,14,9,US-2022-162775,2022-01-15,Second Class,572.58,6,0.0,34.354799999999955,2,Fast,5.999999999999991,538.2252000000001,No Discount,0,CS-12250,Chris Selesnick,Corporate,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,United States,Bossier City,Louisiana,71111,South,2022-01-13,2022,1,1,Thursday
31,11,31,11,9,US-2022-157147,2022-01-18,Standard Class,1325.85,5,0.0,238.6529999999999,5,Medium,17.999999999999993,1087.197,No Discount,0,BD-11605,Brian Dahlen,Consumer,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,United States,San Francisco,California,94109,West,2022-01-13,2022,1,1,Thursday
