row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country_region,city,state_province,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,order_quarter,weekday,delivery_days,shipping_speed,profit_margin_pct,estimated_cost,discount_bucket,loss_flag
1,US-2022-103800,2022-01-03,2022-01-07,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.551199999999998,2022,1,1,Monday,4,Medium,33.749999999999986,10.896800000000002,Low,0
2,US-2022-112326,2022-01-04,2022-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.539999999999999,2,0.8,-5.487,2022,1,1,Tuesday,4,Medium,-155.00000000000006,9.027,High,1
3,US-2022-112326,2022-01-04,2022-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.271699999999999,2022,1,1,Tuesday,4,Medium,36.24999999999999,7.5123000000000015,Low,0
4,US-2022-112326,2022-01-04,2022-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.77480000000001,2022,1,1,Tuesday,4,Medium,-23.750000000000004,337.5108,Low,1
5,US-2022-141817,2022-01-05,2022-01-12,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,2022,1,1,Wednesday,7,Slow,25.0,14.652000000000001,Low,0
6,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.4077999999997,2022,1,1,Thursday,4,Medium,28.999999999999986,1827.4122000000004,No Discount,0
7,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796000000000005,2022,1,1,Thursday,4,Medium,27.000000000000007,4.0004,No Discount,0
8,US-2022-106054,2022-01-06,2022-01-07,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.2398,2022,1,1,Thursday,1,Fast,41.0,7.5402,No Discount,0
9,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,2022,1,1,Thursday,4,Medium,44.99999999999999,335.48900000000003,No Discount,0
10,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3111999999999995,2022,1,1,Thursday,4,Medium,0.9999999999999983,30.8088,No Discount,0
11,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,2022,1,1,Thursday,4,Medium,46.0,3.5316,No Discount,0
12,US-2022-130813,2022-01-06,2022-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.3312,2022,1,1,Thursday,2,Fast,48.00000000000001,10.1088,No Discount,0
13,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.0,204.1092,2022,1,1,Thursday,4,Medium,26.999999999999996,551.8508,No Discount,0
14,US-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0.0,113.67419999999998,2022,1,1,Thursday,4,Medium,28.999999999999993,278.30580000000003,No Discount,0
15,US-2022-105417,2022-01-07,2022-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,3,0.6,-53.70959999999999,2022,1,1,Friday,5,Medium,-69.99999999999997,130.4376,High,1
16,US-2022-105417,2022-01-07,2022-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.429999999999998,7,0.8,-18.252500000000005,2022,1,1,Friday,5,Medium,-175.00000000000009,28.682500000000005,High,1
